subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0080	1	(2,6]	55	157	212	5	5	5	0	5	0	0
subsample_0080	1	(6,40]	54	271	325	277	277	267	10	277	0	0
subsample_0081	1	[0,2]	154	7	161	5	5	5	0	5	0	0
subsample_0081	1	(2,6]	59	213	272	16	16	16	0	16	0	0
subsample_0081	1	(6,40]	62	268	330	352	352	325	27	352	0	0
subsample_0082	1	[0,2]	124	18	142	3	3	3	0	3	0	0
subsample_0082	1	(2,6]	90	202	292	12	12	12	0	12	0	0
subsample_0082	1	(6,40]	33	390	423	428	428	407	21	428	0	0
subsample_0083	1	[0,2]	85	14	99	4	4	4	0	4	0	0
subsample_0083	1	(2,6]	49	119	168	2	2	2	0	2	0	0
subsample_0083	1	(6,40]	58	266	324	270	270	255	15	270	0	0
subsample_0084	1	[0,2]	138	2	140	0	0	0	0	0	0	0
subsample_0084	1	(2,6]	24	31	55	6	6	6	0	6	0	0
subsample_0084	1	(6,40]	58	460	518	172	172	163	9	172	0	0
subsample_0085	1	[0,2]	102	10	112	7	7	7	0	7	0	0
subsample_0085	1	(2,6]	50	120	170	10	10	10	0	10	0	0
subsample_0085	1	(6,40]	39	420	459	407	407	386	21	407	0	0
subsample_0086	1	[0,2]	88	27	115	3	3	3	0	3	0	0
subsample_0086	1	(2,6]	81	192	273	8	8	8	0	8	0	0
subsample_0086	1	(6,40]	26	354	380	311	311	286	25	311	0	0
subsample_0087	1	[0,2]	111	23	134	1	1	1	0	1	0	0
subsample_0087	1	(2,6]	108	145	253	4	4	4	0	4	0	0
subsample_0087	1	(6,40]	62	355	417	287	287	283	4	287	0	0
subsample_0088	1	[0,2]	114	24	138	2	2	2	0	2	0	0
subsample_0088	1	(2,6]	68	217	285	6	6	6	0	6	0	0
subsample_0088	1	(6,40]	43	278	321	400	400	360	40	400	0	0
subsample_0089	1	[0,2]	144	19	163	0	0	0	0	0	0	0
subsample_0089	1	(2,6]	89	169	258	4	4	4	0	4	0	0
subsample_0089	1	(6,40]	42	383	425	296	296	291	5	296	0	0
subsample_0090	1	[0,2]	95	5	100	3	3	3	0	3	0	0
subsample_0090	1	(2,6]	65	99	164	9	9	9	0	9	0	0
subsample_0090	1	(6,40]	47	237	284	292	292	252	40	292	0	0
subsample_0091	1	[0,2]	94	29	123	0	0	0	0	0	0	0
subsample_0091	1	(2,6]	65	164	229	20	20	20	0	20	0	0
subsample_0091	1	(6,40]	40	242	282	318	318	283	35	318	0	0
subsample_0092	1	[0,2]	135	16	151	5	5	5	0	5	0	0
subsample_0092	1	(2,6]	67	165	232	9	9	9	0	9	0	0
subsample_0092	1	(6,40]	35	268	303	320	320	312	8	320	0	0
subsample_0093	1	[0,2]	95	30	125	4	4	4	0	4	0	0
subsample_0093	1	(2,6]	89	165	254	12	12	12	0	12	0	0
subsample_0093	1	(6,40]	46	299	345	346	346	316	30	346	0	0
subsample_0094	1	[0,2]	106	14	120	2	2	2	0	2	0	0
subsample_0094	1	(2,6]	85	148	233	13	13	13	0	13	0	0
subsample_0094	1	(6,40]	44	446	490	426	426	409	17	426	0	0
subsample_0095	1	[0,2]	130	11	141	0	0	0	0	0	0	0
subsample_0095	1	(2,6]	75	107	182	2	2	2	0	2	0	0
subsample_0095	1	(6,40]	60	248	308	310	310	272	38	310	0	0
subsample_0096	1	[0,2]	127	32	159	2	2	2	0	2	0	0
subsample_0096	1	(2,6]	72	151	223	1	1	1	0	1	0	0
subsample_0096	1	(6,40]	53	335	388	381	381	358	23	381	0	0
subsample_0097	1	[0,2]	120	17	137	0	0	0	0	0	0	0
subsample_0097	1	(2,6]	55	159	214	7	7	7	0	7	0	0
subsample_0097	1	(6,40]	40	295	335	277	277	247	30	277	0	0
subsample_0098	1	[0,2]	124	3	127	5	5	5	0	5	0	0
subsample_0098	1	(2,6]	50	143	193	17	17	17	0	17	0	0
subsample_0098	1	(6,40]	44	242	286	314	314	298	16	314	0	0
subsample_0099	1	[0,2]	97	9	106	3	3	3	0	3	0	0
subsample_0099	1	(2,6]	21	48	69	10	10	10	0	10	0	0
subsample_0099	1	(6,40]	83	282	365	298	298	274	24	298	0	0
subsample_0100	1	[0,2]	146	11	157	0	0	0	0	0	0	0
subsample_0100	1	(2,6]	59	150	209	1	1	1	0	1	0	0
subsample_0100	1	(6,40]	43	231	274	240	240	225	15	240	0	0
subsample_0101	1	[0,2]	144	21	165	2	2	2	0	2	0	0
subsample_0101	1	(2,6]	103	221	324	1	1	1	0	1	0	0
subsample_0101	1	(6,40]	43	409	452	287	287	263	24	287	0	0
subsample_0102	1	[0,2]	105	21	126	0	0	0	0	0	0	0
subsample_0102	1	(2,6]	79	132	211	10	10	10	0	10	0	0
subsample_0102	1	(6,40]	59	295	354	396	396	377	19	396	0	0
subsample_0103	1	[0,2]	70	14	84	2	2	2	0	2	0	0
subsample_0103	1	(2,6]	57	168	225	5	5	5	0	5	0	0
