subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0095	1	[0,6]	359	99	656	82	86	50	32	54	28	4
subsample_0095	1	(6,12]	190	706	1430	700	765	305	395	402	298	65
subsample_0095	1	(12,40]	239	613	1994	18600	31205	4016	14584	9800	8800	12605
subsample_0096	1	[0,6]	315	102	619	82	98	30	52	32	50	16
subsample_0096	1	(6,12]	190	610	1387	443	741	135	308	238	205	298
subsample_0096	1	(12,40]	272	538	2014	18346	31762	4194	14152	9427	8919	13416
subsample_0097	1	[0,6]	530	324	1627	191	213	64	127	81	110	22
subsample_0097	1	(6,12]	137	445	811	1213	1548	426	787	877	336	335
subsample_0097	1	(12,40]	290	801	2169	18058	32682	4328	13730	9302	8756	14624
subsample_0098	1	[0,6]	418	122	1307	246	278	59	187	64	182	32
subsample_0098	1	(6,12]	160	634	1126	1945	3061	567	1378	1245	700	1116
subsample_0098	1	(12,40]	195	772	2089	17222	31081	3927	13295	8460	8762	13859
subsample_0099	1	[0,6]	445	364	1536	354	536	91	263	144	210	182
subsample_0099	1	(6,12]	70	505	1013	5754	10064	2037	3717	3696	2058	4310
subsample_0099	1	(12,40]	129	491	1766	13645	24806	2386	11259	5847	7798	11161
subsample_0100	1	[0,6]	444	504	1757	286	418	95	191	131	155	132
subsample_0100	1	(6,12]	79	429	823	4770	8203	2075	2695	3373	1397	3433
subsample_0100	1	(12,40]	168	441	1698	14616	24477	2413	12203	6380	8236	9861
